(morp)	B_PS	B_OG	B_LC	B_DT	B_TI	I_PS	I_OG	I_LC	I_DT	I_TI	O	I
王道	0	0	0	0	0	0	0	0	0	0	1	0
화학자	0	0	0	0	0	0	0	0	0	0	1	0
질감	0	0	0	0	0	0	0	0	0	0	2	0
상징	0	0	0	0	0	0	0	0	0	0	15	0
영문메모	0	0	0	0	0	0	0	0	0	0	1	0
정무	0	0	0	0	0	0	0	0	0	0	1	0
民生	0	0	0	0	0	0	0	0	0	0	3	0
모차르트	1	0	0	0	0	0	0	0	0	0	0	0
홍보과	0	0	0	0	0	0	0	0	0	0	1	0
시드니쯤	0	0	1	0	0	0	0	0	0	0	0	0
기악부	0	0	0	0	0	0	0	0	0	0	1	0
가창력	0	0	0	0	0	0	0	0	0	0	1	0
불륜	0	0	0	0	0	0	0	0	0	0	2	0
보습기능	0	0	0	0	0	0	0	0	0	0	1	0
고색창연	0	0	0	0	0	0	0	0	0	0	1	0
곱	0	0	0	0	0	0	0	0	0	0	2	0
침	0	0	0	0	0	0	0	0	0	0	3	0
분수	0	0	0	0	0	0	0	0	0	0	1	0
윌	0	0	0	0	0	0	0	0	0	0	1	0
구휼미	0	0	0	0	0	0	0	0	0	0	1	0
관조	0	0	0	0	0	0	0	0	0	0	1	0
정책협의회	0	0	0	0	0	0	0	0	0	0	1	0
완치	0	0	0	0	0	0	0	0	0	0	1	0
도서실	0	0	0	0	0	0	0	0	0	0	1	0
복수	0	0	0	0	0	0	0	0	0	0	2	0
규범	0	0	0	0	0	0	0	0	0	0	1	0
大乘佛敎	0	2	0	0	0	0	0	0	0	0	0	0
후예	0	0	0	0	0	0	0	0	0	0	1	0
헝겊단추	0	0	0	0	0	0	0	0	0	0	1	0
ㄴ다든지	0	0	0	0	0	0	0	0	0	0	2	0
후반	0	0	0	0	0	0	0	0	0	0	1	4
담담히	0	0	0	0	0	0	0	0	0	0	1	0
재야	0	0	0	0	0	0	0	0	0	0	2	0
상복	0	0	0	0	0	0	0	0	0	0	1	0
직위	0	0	0	0	0	0	0	0	0	0	1	0
태우	0	0	0	0	0	0	0	0	0	0	5	0
발표	0	0	0	0	0	0	0	0	0	0	34	0
경지	0	0	0	0	0	0	0	0	0	0	1	0
다거나	0	0	0	0	0	0	0	0	0	0	1	0
경황	0	0	0	0	0	0	0	0	0	0	1	0
서울대병원	0	1	0	0	0	0	0	0	0	0	0	0
바빌로니아	0	0	1	0	0	0	0	0	0	0	0	0
각별히	0	0	0	0	0	0	0	0	0	0	1	0
내력	0	0	0	0	0	0	0	0	0	0	4	0
철학자	0	0	0	0	0	0	0	0	0	0	4	0
투석전	0	0	0	0	0	0	0	0	0	0	1	0
부지런	0	0	0	0	0	0	0	0	0	0	1	0
1928	0	0	0	1	0	0	0	0	0	0	0	0
헤드라이트	0	0	0	0	0	0	0	0	0	0	1	0
오백만	0	0	0	0	0	0	0	0	0	0	1	0
신사	0	0	0	0	0	0	0	0	0	0	1	1
두레유통	0	1	0	0	0	0	0	0	0	0	0	0
탐사중	0	0	0	0	0	0	0	0	0	0	1	0
슈메이커	1	0	0	0	0	0	0	0	0	0	0	0
곧바로	0	0	0	0	0	0	0	0	0	0	3	0
공언	0	0	0	0	0	0	0	0	0	0	1	0
청량리	0	0	1	0	0	0	0	0	0	0	0	0
유고	0	0	3	0	0	0	0	0	0	0	0	0
뵈	0	0	0	0	0	0	0	0	0	0	2	0
별다르	0	0	0	0	0	0	0	0	0	0	2	0
자주통일	0	0	0	0	0	0	0	0	0	0	1	0
유럽여행	0	0	1	0	0	0	0	0	0	0	0	0
옥상	0	0	0	0	0	0	0	0	0	0	3	0
대만사회	0	0	1	0	0	0	0	0	0	0	0	0
학교밖	0	0	0	0	0	0	0	0	0	0	2	0
지휘부	0	1	0	0	0	0	0	0	0	0	0	0
발소리	0	0	0	0	0	0	0	0	0	0	1	0
수친다	11	0	0	0	0	0	0	0	0	0	0	0
물음	0	0	0	0	0	0	0	0	0	0	10	0
전파	0	0	0	0	0	0	0	0	0	0	1	0
국책사업	0	0	0	0	0	0	0	0	0	0	1	0
얘기	0	0	0	0	0	0	0	0	0	0	55	0
조르	0	0	0	0	0	0	0	0	0	0	2	0
집앞	0	0	0	0	0	0	0	0	0	0	1	0
수사당국	0	0	0	0	0	0	0	0	0	0	2	0
고백	0	0	0	0	0	0	0	0	0	0	1	0
남짓	0	0	0	0	0	0	0	0	0	0	4	0
수렵도	0	0	0	0	0	0	0	0	0	0	1	0
구치소	0	0	0	0	0	0	0	0	0	0	2	0
장례식	0	0	0	0	0	0	0	0	0	0	2	0
기본구조	0	0	0	0	0	0	0	0	0	0	1	0
북경대	0	1	0	0	0	0	0	0	0	0	0	0
서울시립	0	1	0	0	0	0	0	0	0	0	0	0
정식	0	0	0	0	0	0	0	0	0	0	4	0
유달리	0	0	0	0	0	0	0	0	0	0	2	0
성북구	0	0	1	0	0	0	0	0	0	0	0	0
Philosophical	0	0	0	0	0	0	0	0	0	0	1	0
다치	0	0	0	0	0	0	0	0	0	0	1	0
처리조치	0	0	0	0	0	0	0	0	0	0	1	0
박영수씨	1	0	0	0	0	0	0	0	0	0	0	0
사고능력	0	0	0	0	0	0	0	0	0	0	1	0
하여금	0	0	0	0	0	0	0	0	0	0	12	0
불쌍	0	0	0	0	0	0	0	0	0	0	3	0
뒤꼍	0	0	0	0	0	0	0	0	0	0	1	0
산하조직	0	0	0	0	0	0	0	0	0	0	1	0
홀드	0	0	0	0	0	0	0	0	0	0	1	0
대가리	0	0	0	0	0	0	0	0	0	0	1	0
거듭	0	0	0	0	0	0	0	0	0	0	4	0
사직당국	0	0	0	0	0	0	0	0	0	0	1	0
보성	0	1	0	0	0	0	0	0	0	0	0	0
위자료	0	0	0	0	0	0	0	0	0	0	1	0
크랏수스군단	0	1	0	0	0	0	0	0	0	0	0	0
제인	1	0	0	0	0	0	0	0	0	0	0	0
환국	0	0	0	0	0	0	0	0	0	0	0	1
전용호본부장	1	0	0	0	0	0	0	0	0	0	0	0
직업의식	0	0	0	0	0	0	0	0	0	0	1	0
평상심	0	0	0	0	0	0	0	0	0	0	1	0
물결치	0	0	0	0	0	0	0	0	0	0	1	0
대전	0	0	0	0	0	0	0	0	0	0	7	2
워낙	0	0	0	0	0	0	0	0	0	0	1	0
對野	0	0	0	0	0	0	0	0	0	0	1	0
對外用	0	0	0	0	0	0	0	0	0	0	1	0
경성제대	0	1	0	0	0	0	0	0	0	0	0	0
깐	0	0	0	0	0	0	0	0	0	0	2	0
결전	0	0	0	0	0	0	0	0	0	0	1	0
약자	0	0	0	0	0	0	0	0	0	0	1	0
내세우	0	0	0	0	0	0	0	0	0	0	10	0
유효표	0	0	0	0	0	0	0	0	0	0	1	0
생리통	0	0	0	0	0	0	0	0	0	0	1	0
힘쓰	0	0	0	0	0	0	0	0	0	0	1	0
창덕궁	0	0	0	0	0	0	0	0	0	0	1	0
후세인	5	0	0	0	0	0	0	0	0	0	0	0
관등성명	0	0	0	0	0	0	0	0	0	0	1	0
구	0	0	0	0	0	0	0	0	0	0	17	0
아파하	0	0	0	0	0	0	0	0	0	0	2	0
건축물	0	0	0	0	0	0	0	0	0	0	2	0
줄가닥	0	0	0	0	0	0	0	0	0	0	1	0
로드쇼	0	0	0	0	0	0	0	0	0	0	1	0
철학	0	0	0	0	0	0	0	0	0	0	31	0
베끼	0	0	0	0	0	0	0	0	0	0	1	0
이죽대	0	0	0	0	0	0	0	0	0	0	1	0
수려	0	0	0	0	0	0	0	0	0	0	1	0
단일노조	0	0	0	0	0	0	0	0	0	0	1	0
갈릴레오등	1	0	0	0	0	0	0	0	0	0	0	0
아베스타	1	0	0	0	0	0	0	0	0	0	0	0
논어	0	0	0	0	0	0	0	0	0	0	2	0
법률	0	0	0	0	0	0	0	0	0	0	3	0
부당	0	0	0	0	0	0	0	0	0	0	1	0
