(syll)	B_PS	B_OG	B_LC	B_DT	B_TI	I_PS	I_OG	I_LC	I_DT	I_TI	O	I
敬	0.198150312295	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155
强	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.832312344259	0.0152443323401
忽	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
편	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	2.47001036387e-79	1.0	2.47001036387e-79
젓	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.000902825987459	0.990068914138	0.000902825987459
笏	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
乘	0.0403581996891	0.298209001555	0.0403581996891	0.0403581996891	0.0403581996891	0.0403581996891	0.0403581996891	0.0403581996891	0.0403581996891	0.0403581996891	0.298209001555	0.0403581996891
끝	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	4.90609473065e-35	1.0	1.3336148155e-34
뷰	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
p	8.3152548401e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	3.05901130378e-07	0.999996109463	3.05901130378e-07
汎	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
콤	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
티	1.38879438648e-11	2.11513103756e-19	1.15482241729e-17	2.86251858051e-20	2.86251858051e-20	2.86251858051e-20	2.86251858051e-20	2.86251858051e-20	2.86251858051e-20	2.86251858051e-20	0.999999999986	3.139132792e-17
쟈	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
不	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
수	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
무	1.65256176313e-233	1.46848464691e-226	3.02677244947e-235	1.01536903996e-238	1.01536903996e-238	3.73533395004e-239	3.73533395004e-239	3.73533395004e-239	3.73533395004e-239	3.73533395004e-239	1.0	1.11348735727e-235
明	0.0304842557378	0.0304842557378	0.082864798426	0.0304842557378	0.0304842557378	0.0304842557378	0.0304842557378	0.0304842557378	0.0304842557378	0.0304842557378	0.612292644196	0.0304842557378
승	1.0	1.80485138785e-35	6.63967719958e-36	1.80485138785e-35	6.63967719958e-36	6.63967719958e-36	6.63967719958e-36	6.63967719958e-36	6.63967719958e-36	6.63967719958e-36	3.44247710847e-14	6.63967719958e-36
策	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
渾	0.198150312295	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155
갚	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.00241295975497	0.973457442695	0.00241295975497
디	2.03109266273e-42	1.85211676952e-45	5.52108227703e-42	9.22114642293e-47	9.22114642293e-47	9.22114642293e-47	9.22114642293e-47	9.22114642293e-47	9.22114642293e-47	9.22114642293e-47	1.0	5.03457535876e-45
탱	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.0321693011921	0.646137686887	0.0321693011921
류	7.09547416228e-23	2.61027906967e-23	2.61027906967e-23	9.60268005451e-24	9.60268005451e-24	9.60268005451e-24	9.60268005451e-24	9.60268005451e-24	9.60268005451e-24	9.60268005451e-24	1.0	9.60268005451e-24
삔	0.072895426155	0.072895426155	0.198150312295	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155
큰	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	4.53772683897e-05	0.999500850048	4.53772683897e-05
요	1.42013795801e-97	2.21950832097e-115	1.21181048308e-113	3.61235613833e-110	2.21950832097e-115	2.21950832097e-115	2.21950832097e-115	2.21950832097e-115	2.21950832097e-115	2.21950832097e-115	1.0	1.64000714957e-114
섭	0.999999999242	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	3.13913278967e-17	7.58256042216e-10	3.13913278967e-17
칠	1.38879438601e-11	5.10908902629e-12	5.10908902629e-12	2.7894680919e-10	5.10908902629e-12	5.10908902629e-12	5.10908902629e-12	5.10908902629e-12	5.10908902629e-12	5.10908902629e-12	0.999999999652	1.38879438601e-11
秋	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
음	1.37901594025e-163	1.37901594025e-163	6.86571608978e-165	1.22540880546e-156	2.52575579835e-165	2.52575579835e-165	2.52575579835e-165	2.52575579835e-165	2.52575579835e-165	2.52575579835e-165	1.0	3.74855397155e-163
信	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
녕	0.00033403745435	0.00033403745435	0.000908007942183	0.00033403745435	0.00033403745435	0.00033403745435	0.00033403745435	0.00033403745435	0.00033403745435	0.00033403745435	0.995751617514	0.00033403745435
셋	1.67010443558e-05	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	2.26024056824e-06	0.99996069655	2.26024056824e-06
系	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
빳	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
錄	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
퓨	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.000123242501424	0.998644332484	0.000123242501424
林	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
랜	4.50370023071e-05	4.50370023071e-05	0.0066840837889	4.50370023071e-05	4.50370023071e-05	4.50370023071e-05	4.50370023071e-05	4.50370023071e-05	4.50370023071e-05	4.50370023071e-05	0.992005990818	0.000904592372749
.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
든	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	2.2273635618e-39	1.0	2.2273635618e-39
子	0.445216301532	0.00815442100624	0.0221660144429	0.0221660144429	0.00815442100624	0.00815442100624	0.00815442100624	0.00815442100624	0.00815442100624	0.00815442100624	0.445216301532	0.00815442100624
失	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.054380170174	0.401818128085	0.054380170174
탓	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.000334229292099	0.996323477787	0.000334229292099
外	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.0152443323401	0.832312344259	0.0152443323401
베	0.99998329081	5.60270281935e-09	2.06111918223e-09	2.54362314478e-13	2.54362314478e-13	2.54362314478e-13	2.54362314478e-13	2.54362314478e-13	2.54362314478e-13	2.54362314478e-13	1.67014217184e-05	1.0261708164e-10
형	1.16778124852e-60	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	4.83454163805e-68	1.0	3.57226993762e-67
R	0.00230672882034	0.0463318868927	0.00230672882034	0.00230672882034	0.00230672882034	0.00230672882034	0.00230672882034	0.00230672882034	0.00230672882034	0.00230672882034	0.930600824904	0.00230672882034
쎄	0.0458177138238	0.338549657769	0.0458177138238	0.0458177138238	0.0458177138238	0.0458177138238	0.0458177138238	0.0458177138238	0.0458177138238	0.0458177138238	0.124545458909	0.124545458909
同	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.072895426155	0.198150312295	0.072895426155
