젶	-0.0348685 -0.00991961 0.0264294 0.0323872 -0.0187177 0.00390788 0.031759 -0.00847595 -0.0317713 0.0155909 0.0140751 0.0314763 -0.00392493 -0.0201975 0.00336116 0.00394879 -0.0330498 -0.0101675 0.0109859 -0.0316864 0.0358136 0.0375764 -0.0358061 -0.0325274 -0.0184305 -0.00810948 -0.0291386 0.0210473 0.0124883 -0.018967 0.0160246 -0.0143136 0.0269774 0.0166602 0.0206909 -0.00316253 0.0337855 0.0176804 0.0286361 -0.0159225 -0.0297951 0.0263932 -0.00799848 -0.0211642 -0.0278822 -0.00512127 0.0163863 0.0258457 0.0305659 -0.024459 -0.0241991 0.0211478 0.0305408 0.0366948 0.0247523 0.0128149 0.0138943 0.0293338 -0.0102888 -0.00723859
퉤	-0.00271057 -0.0306356 -0.0309128 0.0152219 0.0331173 -0.0335457 0.00497277 -0.00243371 0.030179 0.0259713 0.0345455 -0.0198698 -0.0367108 -0.0372747 -0.0342949 0.0055149 0.0317012 0.0248975 -0.0165103 -0.0224115 0.0232239 0.02432 -0.0137182 -0.00446071 -0.0191583 0.0332304 0.0152545 0.033636 -0.00978241 -0.0248604 -0.0197432 -0.0117232 0.0182281 0.0372511 -0.029299 0.0108058 -0.0213294 -0.0188711 0.0352067 -0.00733684 -0.00830674 0.038387 0.0203178 0.0045001 0.0274783 0.0139368 0.0248468 0.0103927 -0.0112385 0.0321517 -0.0343857 -0.01717 -0.011116 -0.00145862 -0.0273504 0.0132567 0.0258522 -0.0233283 0.0287732 -0.00476839
ㄷ	-0.027827 -0.00151777 0.0332816 -0.00560866 -0.00249439 -0.0063677 0.0156301 0.0259098 -0.00859441 -0.0259275 0.0325524 0.0306416 0.022918 0.00660028 -0.00706796 -0.0221042 -0.0377644 0.0377784 -0.00619165 -0.00267353 0.00947759 -0.0180627 -0.0173211 0.0197259 0.0160903 -0.00559362 0.0123721 -0.0220671 0.00571823 0.0196245 -0.0150582 -0.0198033 0.0310944 -0.0183722 -0.0191728 -0.036022 0.0257967 -0.0184629 0.0309127 -0.011056 -0.00120855 0.0148778 -0.0102464 0.0348769 0.0177448 0.00215937 0.0332413 0.0231989 -0.030717 0.0138544 0.0186689 0.0358418 0.015602 0.00538595 -0.00254696 -0.0025054 -0.0357028 -0.0366329 0.0383155 -0.0381877
럴	-0.0164768 0.0202338 0.0291197 -0.0155 0.0268582 0.0155028 -0.000260122 -0.00972349 -0.0334723 0.0123154 0.0386997 -0.0144448 0.00164715 -0.0245973 0.0374249 -0.0240003 -0.0202506 -0.0171946 0.0381097 0.006463 0.00163558 0.0333816 -0.00652087 -0.0186348 -0.0258277 0.0223718 0.0202056 0.00623618 -0.0364605 0.015673 0.0168207 -0.00310647 0.0222313 0.0377022 -0.00673832 -0.00611854 0.0182564 -0.00570294 -0.0104229 0.0289502 0.0272909 0.0313066 -0.000655729 -0.0120234 0.00206789 0.00122573 -0.0171874 0.0367694 0.0283109 0.0071784 -0.023346 -0.0264697 0.0103727 -0.0318188 -0.0075226 0.0324487 0.0153874 0.00802204 0.0202184 -0.034053
딪	0.0188952 -0.0176624 0.022529 -0.0191906 -0.0288995 -0.0219087 0.0216101 0.0302013 -0.0307175 0.0051639 0.0339667 -0.00492781 0.0197381 0.025703 0.0333292 0.0277504 -0.0102482 0.0282226 -0.0170389 -0.0253893 0.0296746 0.0117661 0.0165554 0.0371252 -0.0379426 -0.0216904 0.0151722 0.0187747 0.0304577 -0.0303609 -0.0301434 -0.008267 0.0325811 0.0237528 -0.0337058 0.0166696 -0.0142016 -0.0201118 0.0298948 -0.0291224 0.0142274 0.0201603 -0.0219487 -0.0151304 -0.0345452 -0.0310513 -0.033981 -0.00403487 -0.0323529 0.0278233 -0.0303318 0.0194731 0.0164912 0.0304172 -0.0316484 -0.0332671 -0.0239951 0.0136191 0.00610559 0.0249206
퐝	-0.0312766 -0.00778945 0.0116676 -0.00943943 -0.0239321 0.0292399 -0.0362492 0.0111412 0.00549631 -0.0312399 0.0148357 0.0296392 -0.0025404 0.0265042 0.00318053 -0.0130976 0.0172155 0.0265264 0.0382205 -0.00829502 -0.0345821 0.0373292 -0.00129114 -0.0153006 0.00987738 -0.0289242 0.0293819 0.00319989 0.0214707 -0.00827369 -0.0296776 0.0130335 -0.0298169 -0.0356921 -0.0377706 0.0152778 -0.0151501 -0.0341538 0.0193638 -0.0259198 -0.0237813 0.0219052 0.00439011 -0.0207701 -0.0222747 -0.00269433 -0.0372245 0.0240313 -0.0301697 0.0277272 0.0346147 0.0302103 -0.0130837 -0.0377958 -0.00357467 0.0302345 0.0226654 -0.0300139 -0.0333902 -0.0132197
쌋	0.0254841 0.00110956 0.010826 -0.0340339 0.0344437 0.00684246 0.0283681 0.0185235 -0.0300254 0.0176929 0.000703014 0.0366252 -0.00108201 0.0306515 0.0141883 -0.0107246 0.0245962 -0.00389898 -0.00493969 0.00428801 -0.0330189 0.000253845 0.00151662 -0.00301818 -0.0129351 -0.0148216 0.000361077 0.0198078 -0.00939781 -0.0254759 0.00186186 0.0255154 0.0217317 -0.0357224 0.0110425 0.00268203 -0.0173088 0.0203921 0.0030292 0.0131321 0.0307278 0.036953 0.0181084 0.00303746 0.00576196 -0.00294014 -0.0229412 -0.0343469 0.0265771 -0.00135592 -0.0153626 -0.025297 0.0154932 0.000430714 0.0368658 0.0350694 -0.00737008 -0.0115958 0.00691823 0.0138081
밤	-0.026934 0.0322539 -0.00134574 -0.0242692 -0.0150941 0.0139997 0.00160582 -0.02427 -0.0322352 0.0264985 -0.00715427 -0.0296048 -0.0314671 0.0151973 -0.00700476 0.0296816 0.0258163 -0.00253057 0.0272114 -0.000176057 -0.0136531 -0.0384727 0.00277992 -0.0101493 -0.00727575 0.0234792 0.0232232 0.00360291 -0.0293389 0.0277743 -0.0109572 0.0135667 -0.00858279 0.034099 -0.0053557 0.0013293 -0.0267485 -0.0177859 -0.0385199 -0.0332933 -0.0165856 -0.0279276 0.00791603 -0.00670249 -0.00235241 -0.00357018 -0.0222731 0.0278336 -0.0383505 -0.0182504 -0.00705807 0.00147307 0.0214341 -0.0377232 0.036685 -0.0161998 0.00525475 0.0139506 0.0293313 -0.0154227
짇	0.0365167 -0.0237233 -0.0246141 0.0316818 0.0101436 0.0340333 0.00414871 0.0141317 -0.0331442 -0.0211555 0.0374725 0.0253324 0.0199694 -0.0270058 0.013632 0.0098914 0.0177405 0.0198947 0.0120895 -0.00278604 -0.00683427 -0.00459987 0.0335519 -0.0167304 -0.0361068 -0.00696471 -0.026938 -0.0105513 0.00308051 0.0320594 0.0142263 -0.0363592 -0.00262471 -0.00619973 0.00739085 -0.0144312 -0.00237961 0.000809737 0.0376084 0.0049948 -0.00618961 0.0169464 -0.0382668 0.00827675 -0.0308694 0.0138612 0.0266416 -0.0378461 -0.00601539 0.0216025 0.0362546 -0.025367 0.0322024 0.0207518 -0.0188529 0.0298081 -0.0153014 -0.0135927 -0.00571189 0.0198144
쿡	0.028078 0.0385554 -0.00291076 0.0185296 -0.0253621 0.0231232 -0.0216377 -0.00668468 0.00262116 -0.0305555 0.0169093 0.0111445 0.038123 0.00834629 0.00202023 0.00785132 -0.00956842 -0.0324052 0.0332464 -0.00319756 -0.00295769 -0.00554837 -0.0353978 0.0332634 0.0104516 0.00154223 -0.0336404 -0.0049455 -0.0239085 0.0296741 0.0383374 -0.0288476 0.0180312 -0.0117009 0.0201144 0.0243167 -0.016805 -0.0298651 0.00342876 0.00819843 -0.0228213 -0.0312058 -0.015019 -0.0298159 0.00350447 0.0325684 -0.00762393 0.0166125 0.000626687 -0.0260339 -0.0386431 0.0114816 -0.0254656 -0.0153549 -0.0205083 -0.0308138 0.0171387 -0.00921405 0.0292581 -0.0237597
